location,bedroom,bathroom,land_clean,building_clean,price_clean
"Turangga, Bandung",7,4,304,233,4000000000
"Kota Baru Parahyangan, Bandung",2,1,90,50,1750000000
"Turangga, Bandung",4,4,130,108,2500000000
"Turangga, Bandung",3,3,135,140,1400000000
"Turangga, Bandung",1,1,169,100,1690000000
"Turangga, Bandung",5,3,141,175,1690000000
"Riau, Bandung",4,4,410,320,13000000000
"Batununggal, Bandung",5,5,513,350,4099999999.9999995
"Sarijadi, Bandung",4,3,546,250,3950000000
"Cigadung, Bandung",4,4,106,145,2850000000
"Pasteur, Bandung",2,2,65,100,1420000000
"Kota Baru Parahyangan, Bandung",3,1,108,80,1590000000
"Margahayu, Bandung",5,3,204,250,2000000000
"Kota Baru Parahyangan, Bandung",3,3,245,300,3800000000
"Batununggal, Bandung",5,5,513,350,4099999999.9999995
"Kota Baru Parahyangan, Bandung",3,2,108,118,2400000000
"Taman Kopo Indah, Bandung",2,3,144,120,1250000000
"Setra Murni, Bandung",5,5,250,350,4300000000
"Kota Baru Parahyangan, Bandung",4,2,108,120,2580000000
"Kopo, Bandung",5,4,1298,360,4500000000
"Kota Baru Parahyangan, Bandung",2,1,128,100,2100000000
"Kota Baru Parahyangan, Bandung",3,2,126,105,2760000000
"Kota Baru Parahyangan, Bandung",3,2,168,130,3350000000
"Holis Cigondewah, Bandung",3,3,243,175,2300000000
"Kota Baru Parahyangan, Bandung",3,3,108,200,1800000000
"Arcamanik, Bandung",5,3,78,119,1400000000
"Holis Cigondewah, Bandung",3,1,144,100,1550000000
"Kota Baru Parahyangan, Bandung",3,2,165,183,3700000000
"Setra Duta, Bandung",4,4,1073,600,20000000000
"Taman Kopo Indah, Bandung",3,2,102,130,1390000000
"Dago, Bandung",8,3,598,469,6500000000
"Kota Baru Parahyangan, Bandung",2,1,72,40,1650000000
"Margahayu, Bandung",3,2,105,200,1950000000
"Setra Murni, Bandung",3,2,122,222,2350000000
"Setra Duta, Bandung",4,3,126,180,2800000000
"Summarecon Bandung, Bandung",2,3,120,132,3000000000
"Andir, Bandung",9,3,660,200,10500000000
"Holis Cigondewah, Bandung",4,3,300,305,3600000000
"Garuda, Bandung",3,2,315,210,6000000000
"Kopo, Bandung",6,4,173,320,2800000000
"Buah Batu, Bandung",3,2,143,100,1250000000
"Cijerah, Bandung",3,2,173,180,1600000000
"Kota Baru Parahyangan, Bandung",3,2,120,100,3200000000
"Taman Kopo Indah, Bandung",4,4,153,136,1500000000
"Kopo Permai, Bandung",2,1,242,300,1500000000
"Margahayu, Bandung",3,1,96,86,735000000
"Taman Kopo Indah, Bandung",2,2,236,150,1700000000
"Taman Kopo Indah, Bandung",4,3,153,150,1770000000
"Margahayu, Bandung",4,3,96,227,1000000000
"Cibaduyut, Bandung",2,1,60,85,730000000
"Margahayu, Bandung",3,2,72,98,750000000
"Cihanjuang, Bandung",2,2,78,60,795000000
"Gede Bage, Bandung",3,2,140,125,1400000000
"Antapani, Bandung",3,2,105,150,1900000000
"Antapani, Bandung",4,2,105,100,1900000000
"Gede Bage, Bandung",3,2,100,60,750000000
"Arcamanik, Bandung",3,2,150,250,1600000000
"Rancamanyar, Bandung",2,1,72,36,320000000
"Kota Baru Parahyangan, Bandung",3,1,162,97,2500000000
"Padalarang, Bandung",2,1,66,36,460000000
"Podomoro Park Bandung, Bandung",2,1,60,31,840000000
"Batununggal, Bandung",5,5,513,350,4099999999.9999995
"Cigadung, Bandung",4,4,475,287,3900000000
"Resor Dago Pakar, Bandung",2,2,342,150,2300000000
"Antapani, Bandung",3,2,84,120,1030000000
"Resor Dago Pakar, Bandung",5,3,501,400,4900000000
"Turangga, Bandung",4,4,120,140,2450000000
"Leuwi Panjang, Bandung",3,3,200,180,1700000000
"Resor Dago Pakar, Bandung",5,4,149,230,1450000000
"BKR, Bandung",6,5,779,255,5250000000
"Lengkong, Bandung",2,1,72,45,600000000
"Batununggal, Bandung",5,5,513,350,4099999999.9999995
"Cihanjuang, Bandung",2,1,64,36,550000000
"Antapani, Bandung",2,2,105,150,1250000000
"Kopo Permai, Bandung",3,2,105,145,1390000000
"Kota Baru Parahyangan, Bandung",3,2,120,92,2500000000
"Cigadung, Bandung",7,4,352,400,4700000000
"Batununggal, Bandung",2,1,60,40,500000000
"Antapani, Bandung",2,1,106,85,1170000000
"Babakanciparay, Bandung",3,2,132,160,2049999999.9999998
"Resor Dago Pakar, Bandung",4,4,2259,686,19000000000
"Dago, Bandung",4,3,248,210,2900000000
"Antapani, Bandung",4,4,308,200,2350000000
"Turangga, Bandung",4,3,305,200,3770000000
"Turangga, Bandung",4,4,102,170,2100000000
"Summarecon Bandung, Bandung",4,3,105,130,2350000000
"Cijerah, Bandung",3,2,91,150,1500000000
"Turangga, Bandung",4,3,260,200,3990000000
"Kota Baru Parahyangan, Bandung",3,1,108,90,1900000000
"Turangga, Bandung",6,4,250,170,2450000000
"Turangga, Bandung",3,2,165,100,1650000000
"Dago, Bandung",5,4,149,230,2390000000
"Antapani, Bandung",2,1,70,70,980000000
"Ciateul, Bandung",5,3,237,270,3250000000
"Geger Kalong, Bandung",3,3,347,200,3800000000
"Kopo Permai, Bandung",3,2,114,140,1300000000
"Buah Batu, Bandung",3,1,75,48,680000000
"Buah Batu, Bandung",3,2,83,60,778000000
"Ujungberung, Bandung",3,2,88,150,1350000000
"Buah Batu, Bandung",2,1,61,40,513000000
"Cikutra, Bandung",12,6,142,220,2800000000
"Batununggal, Bandung",4,3,390,354,5500000000
"Arcamanik, Bandung",6,3,294,280,1700000000
"Cigadung, Bandung",6,6,279,265,2400000000
"Arcamanik, Bandung",3,3,100,120,1150000000
"Pasteur, Bandung",3,2,189,175,2970000000
"Buah Batu, Bandung",3,2,119,70,1150000000
"Singgasana, Bandung",3,2,200,120,3750000000
"Buah Batu, Bandung",4,4,140,298,2500000000
"Arcamanik, Bandung",2,1,113,60,575000000
"Turangga, Bandung",3,2,126,120,1250000000
"Cibaduyut, Bandung",3,2,200,120,3750000000
"Baleendah, Bandung",2,1,140,100,550000000
"Baleendah, Bandung",2,1,140,100,550000000
"Rancasari, Bandung",4,3,144,200,985000000
"Ciwastra, Bandung",2,1,72,45,600000000
"Bandung Kota, Bandung",4,2,90,100,800000000
"Gunung Batu, Bandung",6,3,896,362,5500000000
"Buah Batu, Bandung",3,3,135,140,1400000000
"Ciwastra, Bandung",2,1,85,80,475000000
"Bandung Wetan, Bandung",8,7,750,850,16000000000
"Arcamanik, Bandung",2,1,72,45,600000000
"Bandung Kota, Bandung",2,1,79,40,700000000
"Arcamanik, Bandung",3,2,209,133,1150000000
"Soekarno Hatta, Bandung",3,3,128,100,920000000
"Antapani, Bandung",4,3,80,150,1200000000
"Cikutra, Bandung",6,4,115,300,2150000000
"Antapani, Bandung",3,2,135,90,1200000000
"Cigadung, Bandung",4,4,132,180,2950000000
"Singgasana, Bandung",3,2,102,82,2350000000
"Arcamanik, Bandung",3,2,72,84,790000000
"Arcamanik, Bandung",2,2,100,75,820000000
"Margahayu, Bandung",4,3,110,150,1150000000
"Cikutra, Bandung",2,2,171,100,1000000000
"Pasteur, Bandung",3,3,112,120,1300000000
"Antapani, Bandung",3,2,133,120,1500000000
"Antapani, Bandung",3,3,100,196,1700000000
"Buah Batu, Bandung",5,4,150,180,1600000000
"Arcamanik, Bandung",3,3,120,140,1050000000
"Arcamanik, Bandung",3,2,72,85,790000000
"Antapani, Bandung",2,2,135,110,1200000000
"Burangrang, Bandung",3,2,219,100,2500000000
"Batununggal, Bandung",3,3,180,150,2300000000
"Antapani, Bandung",2,2,208,70,1270000000
"Awiligar, Bandung",3,2,100,72,1350000000
"Dago, Bandung",3,3,160,217,3900000000
"Pasteur, Bandung",9,10,131,250,1850000000
"Buah Batu, Bandung",3,3,104,150,1800000000
"Antapani, Bandung",4,2,216,200,2530000000
"Bandung Timur, Bandung",2,1,72,45,600000000
"Bandung Timur, Bandung",2,1,81,70,600000000
"Cimahi, Bandung",2,1,60,40,500000000
"Gede Bage, Bandung",2,2,108,68,1620000000
"Antapani, Bandung",2,1,95,45,600000000
"Summarecon Bandung, Bandung",2,2,66,62,1650000000
"Bandung Utara, Bandung",8,11,3500,2000,30000000000
"Bandung Kota, Bandung",2,1,72,45,600000000
"Lengkong, Bandung",2,1,72,45,600000000
"Batununggal, Bandung",2,1,72,45,600000000
"Bandung Selatan, Bandung",3,3,200,170,3800000000
"Antapani, Bandung",7,5,421,600,5200000000
"Arcamanik, Bandung",2,1,72,45,600000000
"Arcamanik, Bandung",15,12,1031,1350,12500000000
"BKR, Bandung",3,3,195,150,2950000000
"Kota Baru Parahyangan, Bandung",3,3,144,180,2900000000
"Terusan Buah Batu, Bandung",2,2,108,86,700000000
"Setiabudi, Bandung",3,2,108,100,2400000000
"Kota Baru Parahyangan, Bandung",2,1,72,40,1650000000
"Leuwi Panjang, Bandung",4,3,235,175,2500000000
"Kota Baru Parahyangan, Bandung",3,2,136,92,3000000000
"Dago, Bandung",3,2,112,114,2300000000
"Arcamanik, Bandung",3,2,112,56,850000000
"Dago, Bandung",15,6,520,500,19000000000
"Kopo, Bandung",5,3,208,100,2000000000
"Padalarang, Bandung",2,1,70,70,550000000
"Rancasari, Bandung",2,1,72,45,1100000000
"Cicendo, Bandung",2,1,107,100,1750000000
"Lengkong, Bandung",4,3,261,261,9000000000
"Burangrang, Bandung",5,2,334,130,7250000000
"Sarijadi, Bandung",6,3,168,170,1600000000
"Ngamprah, Bandung",2,1,72,38,560000000
"Ciwidey, Bandung",3,1,63,53,395000000
"Kota Baru Parahyangan, Bandung",3,2,126,105,2760000000
"Gatot Subroto, Bandung",5,3,475,500,12000000000
"Rancasari, Bandung",3,3,112,88,1470000000
"Turangga, Bandung",3,2,107,110,1250000000
"Ciwastra, Bandung",2,1,72,45,600000000
"Buah Batu, Bandung",2,1,72,45,600000000
"Geger Kalong, Bandung",2,2,308,180,2950000000
"Setra Duta, Bandung",3,3,89,192,3270000000
"Antapani, Bandung",2,1,60,40,500000000
"Gede Bage, Bandung",2,1,60,40,500000000
"Cigadung, Bandung",3,3,92,161,1850000000
"Regol, Bandung",5,5,357,500,3500000000
"Dago, Bandung",3,3,350,300,6500000000
"Sayap Dago, Bandung",5,5,600,500,25000000000
"Kopo, Bandung",2,1,84,50,1050000000
"Kota Baru Parahyangan, Bandung",3,2,180,220,4310000000
"Kota Baru Parahyangan, Bandung",3,2,180,205,4470000000
"Kota Baru Parahyangan, Bandung",3,2,352,200,5500000000
"Moch Toha, Bandung",4,2,375,300,5100000000
"Taman Kopo Indah, Bandung",2,2,102,80,1250000000
"Buah Batu, Bandung",5,3,150,250,1800000000
"Gede Bage, Bandung",2,3,105,108,1900000000
"Ciwastra, Bandung",2,1,72,45,600000000
"Regol, Bandung",4,2,375,300,5100000000
"Batununggal, Bandung",3,2,126,160,2000000000
"Cilengkrang, Bandung",2,2,60,50,670000000
"Antapani, Bandung",4,3,121,128,1500000000
"Taman Kopo Indah, Bandung",2,1,112,70,1350000000
"Holis Cigondewah, Bandung",2,1,114,90,1300000000
"Setra Duta, Bandung",3,2,647,306,11500000000
"Kutawaringin, Bandung",2,2,140,165,1300000000
"Bandung Timur, Bandung",1,1,100,36,375000000
"Bandung Kota, Bandung",2,1,72,45,600000000
"Regol, Bandung",9,6,578,361,8350000000
"Kota Baru Parahyangan, Bandung",3,1,108,80,1600000000
"Kota Baru Parahyangan, Bandung",2,2,108,200,1800000000
"Kota Baru Parahyangan, Bandung",4,4,392,336,7500000000
"Setra Indah, Bandung",4,3,780,550,13500000000
"Pondok Hijau, Bandung",4,3,168,216,1990000000
"Pasteur, Bandung",4,2,160,320,2900000000
"Taman Kopo Indah, Bandung",4,3,170,194,2650000000
"Pasteur, Bandung",2,1,72,54,2000000000
"Regol, Bandung",4,3,145,120,2150000000
"Bandung Wetan, Bandung",4,3,850,500,36000000000
"Setra Sari, Bandung",6,4,228,300,2950000000
"Batununggal, Bandung",3,2,168,130,2900000000
"Dago, Bandung",4,3,135,224,3400000000
"Bandung Kota, Bandung",4,3,135,224,3400000000
"Dago, Bandung",4,3,135,224,3400000000
"Kota Baru Parahyangan, Bandung",4,4,300,198,5000000000
"Braga, Bandung",5,1,313,175,7500000000
"Lembang, Bandung",4,2,1000,396,4500000000
"Gatot Subroto, Bandung",2,2,823,500,15000000000
"Buah Batu, Bandung",2,1,60,40,290000000
"Antapani, Bandung",2,1,110,60,1400000000
"Kota Baru Parahyangan, Bandung",3,2,120,160,2850000000
"Mekar Wangi, Bandung",3,3,141,246,2950000000
"Rancasari, Bandung",2,1,60,40,290000000
"Antapani, Bandung",4,4,270,310,2940000000
"Antapani, Bandung",4,2,105,125,1650000000
"Turangga, Bandung",5,4,470,250,6000000000
"Setra Indah, Bandung",3,2,470,150,4000000000
"Kota Baru Parahyangan, Bandung",4,6,775,750,21000000000
"Cijagra, Bandung",4,4,129,200,2550000000
"Antapani, Bandung",3,2,160,190,1900000000
"Batununggal, Bandung",5,2,278,235,3350000000
"Batununggal, Bandung",5,4,252,300,4500000000
"Cigadung, Bandung",8,5,350,450,3500000000
"Dago, Bandung",3,3,490,490,6000000000
"Taman Kopo Indah, Bandung",3,2,144,120,1300000000
"Pasteur, Bandung",16,18,559,440,7300000000
"Taman Kopo Indah, Bandung",2,1,96,120,1100000000
"Kota Baru Parahyangan, Bandung",3,2,136,92,3200000000
"Cimenyan, Bandung",5,4,750,850,16000000000
"Cidadap, Bandung",3,2,255,158,2200000000
"Bojongsoang, Bandung",4,2,75,150,550000000
"Turangga, Bandung",7,3,282,200,2800000000
"Riau, Bandung",5,5,568,500,11000000000
"Tubagus Ismail, Bandung",24,25,450,600,6500000000
"BKR, Bandung",4,3,133,170,2900000000
"Buah Batu, Bandung",3,4,198,300,1990000000
"Buah Batu, Bandung",4,3,779,255,5250000000
"Antapani, Bandung",3,3,108,100,1350000000
"Buah Batu, Bandung",4,3,316,200,7000000000
"Setiabudi, Bandung",5,5,354,450,4800000000
"Buah Batu, Bandung",7,3,254,400,3850000000
"Pasteur, Bandung",3,3,170,170,3000000000
"Bandung Kota, Bandung",3,2,104,80,974000000
"Margahayu, Bandung",3,2,150,130,1300000000
"Setra Duta, Bandung",4,4,157,298,4700000000
"Pasteur, Bandung",3,5,180,400,3300000000
"Cibaduyut, Bandung",3,1,90,80,720000000
"Bandung Kota, Bandung",3,2,104,80,975000000
"Setra Duta, Bandung",3,2,76,225,2400000000
"BKR, Bandung",4,3,320,400,9000000000
"Cibaduyut, Bandung",3,2,248,147,1450000000
"Dago, Bandung",9,10,534,500,8250000000
"Pajajaran, Bandung",9,7,543,360,6500000000
"Riau, Bandung",5,2,1089,365,45000000000
"Turangga, Bandung",5,3,322,200,3900000000
"Sudirman, Bandung",4,3,256,400,3000000000
"Cibaduyut, Bandung",5,2,222,135,1900000000
"Geger Kalong, Bandung",5,3,488,600,8500000000
"Setra Duta, Bandung",4,6,675,800,15000000000
"Pasteur, Bandung",13,5,300,270,4300000000
"Gunung Batu, Bandung",3,3,245,280,2200000000
"Dago, Bandung",4,6,708,400,9100000000
"Cihampelas, Bandung",4,2,172,160,2350000000
"Pasteur, Bandung",8,3,210,160,3100000000
"BKR, Bandung",3,2,108,95,1350000000
"Setra Murni, Bandung",4,4,409,256,3600000000
"Bandung Kota, Bandung",2,1,148,100,1600000000
"Setiabudi, Bandung",5,3,300,290,4300000000
"Setra Duta, Bandung",3,3,200,200,3650000000
"Astanaanyar, Bandung",3,2,288,300,7000000000
"Pasir Kaliki, Bandung",30,30,456,600,12000000000
"Setiabudi, Bandung",10,7,716,650,5000000000
"Setra Murni, Bandung",4,3,255,250,3750000000
"Cigadung, Bandung",3,3,92,160,1890000000
"Podomoro Park Bandung, Bandung",3,3,119,127,2700000000
"Cigadung, Bandung",3,3,95,130,2760000000
"Ciumbuleuit, Bandung",4,3,265,375,5000000000
"Dago, Bandung",7,4,1738,950,35000000000
"Sukajadi, Bandung",4,2,136,240,2200000000
"Setra Duta, Bandung",4,3,120,270,3600000000
"Setra Murni, Bandung",5,4,1000,900,10500000000
"Cangkuang, Bandung",2,1,60,72,350000000
"Bandung Kidul, Bandung",6,2,147,160,1400000000
"Ciparay, Bandung",2,1,60,36,375000000
"Ciwastra, Bandung",3,3,124,130,2150000000
"Pasteur, Bandung",4,4,153,167,2300000000
"Batujajar, Bandung",2,1,84,84,500000000
"Pasteur, Bandung",7,4,1015,352,27500000000
"Buah Batu, Bandung",5,4,224,320,2550000000
"Sukahaji, Bandung",4,3,113,145,2500000000
"Pasteur, Bandung",2,2,479,729,13500000000
"Bandung Kulon, Bandung",4,2,77,140,1150000000
"Cibeunying, Bandung",3,2,80,65,1670000000
"Gatot Subroto, Bandung",4,2,512,200,11000000000
"Caringin, Bandung",4,2,113,196,1390000000
"Sarijadi, Bandung",5,3,98,145,2250000000
"Kota Baru Parahyangan, Bandung",2,1,30,50,1760000000
"Margacinta, Bandung",3,2,140,100,750000000
"Kopo, Bandung",3,2,195,100,1200000000
"Podomoro Park Bandung, Bandung",2,2,96,94,2600000000
"Cimenyan, Bandung",3,3,84,180,900000000
"Buah Batu, Bandung",3,2,100,80,950000000
"Buah Batu, Bandung",4,3,162,175,1700000000
"Gatot Subroto, Bandung",5,2,1694,394,30500000000
"Dago, Bandung",3,3,379,250,4200000000
"Turangga, Bandung",4,2,220,190,2600000000
"Dago Pakar, Bandung",5,3,428,485,9750000000
"Geger Kalong, Bandung",4,4,134,130,1850000000
"Supratman, Bandung",5,3,250,200,2250000000
"Gede Bage, Bandung",4,2,105,104,2550000000
"Kota Baru Parahyangan, Bandung",4,3,162,139,3200000000
