location,bedroom,bathroom,land_clean,building_clean,price_clean
"Gede Bage, Bandung",4,3,180,170,3700000000
"Bandung Kota, Bandung",4,5,362,400,3000000000
"Geger Kalong, Bandung",3,3,188,154,2500000000
"Pondok Hijau, Bandung",2,1,144,100,1900000000
"Cigadung, Bandung",4,4,117,130,1900000000
"Antapani, Bandung",3,1,93,90,870000000
"Sayap Dago, Bandung",19,6,690,303,7000000000
"Sariwangi, Bandung",7,4,496,350,2900000000
"Antapani, Bandung",3,1,93,90,870000000
"Turangga, Bandung",3,2,109,160,2650000000
"Pasteur, Bandung",3,3,309,190,4600000000
"Lembang, Bandung",3,2,700,300,6500000000
"Regol, Bandung",4,2,299,215,3300000000
"Antapani, Bandung",6,3,147,180,2200000000
"Kota Baru Parahyangan, Bandung",3,3,108,198,1800000000
"Pajajaran, Bandung",3,2,165,144,3800000000
"Bandung Kota, Bandung",4,2,150,110,2500000000
"Turangga, Bandung",3,3,125,200,2800000000
"Batununggal, Bandung",4,3,180,150,2600000000
"Gatot Subroto, Bandung",10,5,476,300,14000000000
"Turangga, Bandung",3,3,108,130,2450000000
"Batununggal, Bandung",3,2,126,190,2100000000
"Turangga, Bandung",4,4,156,160,3600000000
"Buah Batu, Bandung",4,3,109,160,1500000000
"Padasuka, Bandung",2,1,81,70,945000000
"Turangga, Bandung",2,2,126,110,1250000000
"Sayap Dago, Bandung",5,3,741,350,6300000000
"Setra Sari, Bandung",4,3,99,180,2100000000
"Sarijadi, Bandung",3,2,97,160,1600000000
"Turangga, Bandung",2,1,165,80,1650000000
"Gede Bage, Bandung",4,2,63,120,760000000
"Singgasana, Bandung",3,3,200,235,4300000000
"Kota Baru Parahyangan, Bandung",3,3,300,245,5370000000
"Padalarang, Bandung",2,1,71,36,475000000
"Rancasari, Bandung",3,2,90,80,895000000
"Cibaduyut, Bandung",3,2,128,140,1600000000
"Sayap Dago, Bandung",7,4,451,400,13900000000
"Ujungberung, Bandung",6,4,145,200,1800000000
"Ciumbuleuit, Bandung",3,2,164,450,6800000000
"Holis Cigondewah, Bandung",3,2,171,170,1750000000
"Lengkong, Bandung",18,8,400,600,4099999999.9999995
"Ujungberung, Bandung",1,1,60,21,240000000
"Cibiru, Bandung",2,1,87,45,495000000
"Holis Cigondewah, Bandung",3,2,171,170,1750000000
"Cimenyan, Bandung",3,2,89,89,970000000
"Margahayu, Bandung",2,1,72,50,650000000
"Margahayu, Bandung",2,2,102,184,975000000
"Ciparay, Bandung",1,1,1315,1315,3100000000
"Mandalajati, Bandung",3,2,84,60,600000000
"Buah Batu, Bandung",5,2,485,283,15000000000
"Parongpong, Bandung",2,1,38,60,499000000
"Soekarno Hatta, Bandung",3,4,303,336,3800000000
"Antapani, Bandung",3,3,232,160,1650000000
"Banjaran, Bandung",3,3,4000,800,6600000000
"Singgasana, Bandung",3,4,187,250,3250000000
"Dago, Bandung",4,3,265,160,3000000000
"Cigadung, Bandung",4,3,448,450,4400000000
"Kota Baru Parahyangan, Bandung",4,3,240,143,3500000000
"Taman Kopo Indah, Bandung",3,2,170,100,1950000000
"Kopo, Bandung",3,2,81,110,1000000000
"Holis Cigondewah, Bandung",2,2,102,96,950000000
"Batununggal, Bandung",4,3,390,354,5500000000
"Summarecon Bandung, Bandung",2,2,105,80,1600000000
"Cibeureum, Bandung",8,5,418,300,4000000000
"Soreang, Bandung",3,2,106,84,1310000000
"Cihanjuang, Bandung",4,2,218,200,750000000
"Baleendah, Bandung",3,2,70,80,290000000
"Muara, Bandung",4,3,113,215,3000000000
"Moch Toha, Bandung",6,6,570,925,16500000000
"Pajajaran, Bandung",5,4,415,650,17000000000
"Baleendah, Bandung",3,3,258,180,1100000000
"Taman Kopo Indah, Bandung",4,2,82,120,1300000000
"Kota Baru Parahyangan, Bandung",5,4,450,475,10000000000
"Kota Baru Parahyangan, Bandung",3,2,575,250,5900000000
"Kota Baru Parahyangan, Bandung",4,4,392,336,6250000000
"Kota Baru Parahyangan, Bandung",3,2,495,450,5750000000
"Kota Baru Parahyangan, Bandung",2,1,126,100,1850000000
"Taman Kopo Indah, Bandung",2,1,90,68,985000000
"Kota Baru Parahyangan, Bandung",4,3,271,300,4950000000
"Kota Baru Parahyangan, Bandung",2,1,126,80,1800000000
"Kota Baru Parahyangan, Bandung",2,2,108,80,1870000000
"Kota Baru Parahyangan, Bandung",2,1,126,70,1850000000
"Kota Baru Parahyangan, Bandung",3,2,120,110,3000000000
"Pasir Kaliki, Bandung",12,4,420,350,9500000000
"Batununggal, Bandung",6,3,112,140,1250000000
"Setiabudi, Bandung",3,3,105,90,1100000000
"Astanaanyar, Bandung",3,1,172,150,2700000000
"Gatot Subroto, Bandung",5,4,1007,800,17000000000
"Kota Baru Parahyangan, Bandung",4,3,220,270,4750000000
"Margahayu, Bandung",2,2,139,135,1500000000
"Astanaanyar, Bandung",4,4,187,185,2750000000
"Taman Kopo Indah, Bandung",2,1,119,125,1200000000
"Kota Baru Parahyangan, Bandung",4,3,350,280,8000000000
"Riau, Bandung",7,5,891,400,39000000000
"Sariwangi, Bandung",3,3,155,125,2450000000
"Cibaduyut, Bandung",6,2,187,350,2500000000
"Dago, Bandung",3,3,164,164,1800000000
"Kopo, Bandung",3,1,105,66,825000000
"Buah Batu, Bandung",4,4,200,170,3800000000
"Dago, Bandung",6,3,4040,400,18000000000
"Cigadung, Bandung",4,3,123,197,2450000000
"Kota Baru Parahyangan, Bandung",4,4,849,1200,16000000000
"Taman Kopo Indah, Bandung",2,1,72,37,1000000000
"BKR, Bandung",3,3,90,135,1750000000
"Sayap Dago, Bandung",2,2,389,265,4300000000
"Bandung Kota, Bandung",7,5,515,750,11000000000
"Dago Pakar, Bandung",5,4,325,218,3900000000
"Geger Kalong, Bandung",3,2,72,110,1300000000
"Antapani, Bandung",6,4,300,350,2600000000
"Geger Kalong, Bandung",5,3,332,350,3600000000
"Holis Cigondewah, Bandung",2,1,102,38,545000000
"Bandung Kota, Bandung",4,4,231,300,6500000000
"Kopo Permai, Bandung",3,2,70,100,825000000
"Bandung Kota, Bandung",3,2,84,84,845000000
"Pondok Hijau, Bandung",3,3,188,154,2500000000
"Buah Batu, Bandung",4,4,180,201,2160000000
"Bandung Utara, Bandung",2,3,70,210,2800000000
"Bandung Kota, Bandung",4,3,184,187,950000000
"Bojongsoang, Bandung",3,2,90,100,550000000
"Margahayu, Bandung",4,2,238,150,2700000000
"Turangga, Bandung",4,4,100,200,2450000000
"Turangga, Bandung",4,3,100,170,2450000000
"Katapang, Bandung",3,2,60,75,275000000
"Kota Baru Parahyangan, Bandung",3,2,128,148,2750000000
"Gede Bage, Bandung",2,1,72,45,600000000
"Kota Baru Parahyangan, Bandung",5,4,815,650,14000000000
"Dago, Bandung",6,3,1390,800,15000000000
"Cikutra, Bandung",5,2,353,300,4600000000
"Bandung Kulon, Bandung",3,2,270,160,3150000000
"Riau, Bandung",4,3,132,201,4800000000
"Soekarno Hatta, Bandung",4,4,170,225,2049999999.9999998
"Gatot Subroto, Bandung",5,3,993,200,18500000000
"Gatot Subroto, Bandung",3,2,214,150,3800000000
"Batununggal, Bandung",2,1,162,100,2100000000
"Gatot Subroto, Bandung",5,4,336,448,8750000000
"Dago Pakar, Bandung",4,4,400,110,7500000000
"Kopo Permai, Bandung",3,2,141,155,1150000000
"Antapani, Bandung",2,1,112,60,735000000
"Katapang, Bandung",2,1,60,40,250000000
"Lengkong, Bandung",11,7,161,140,2700000000
"Lengkong, Bandung",11,7,161,140,2700000000
"Mekar Wangi, Bandung",4,3,550,350,8500000000
"Cibiru, Bandung",2,2,82,75,500000000
"Bandung Kota, Bandung",7,3,843,500,33000000000
"Arcamanik, Bandung",6,3,148,202,2000000000
"Kopo, Bandung",3,3,251,157,3000000000
"Kopo Permai, Bandung",3,2,193,150,1590000000
"Batununggal, Bandung",6,4,200,250,3800000000
"Dago, Bandung",5,4,174,235,3300000000
"Setra Murni, Bandung",5,3,260,250,3800000000
"Podomoro Park Bandung, Bandung",3,3,112,127,2190000000
"Bandung Kota, Bandung",4,4,90,125,1980000000
"Sayap Dago, Bandung",7,7,13150,600,40000000000
"Mekar Wangi, Bandung",2,3,105,252,3950000000
